community,white,black,asian,hispanic,other
Rogers Park,21618,14461,3523,13433,1956
West Ridge,30706,8015,16184,14701,2336
Uptown,29098,11275,6414,8009,1566
Lincoln Square,24916,1488,4399,7562,1128
North Center,24634,738,1449,4330,716
Lake View,75845,3651,5653,7198,2021
Lincoln Park,53138,2753,3296,3571,1358
Near North Side,58033,8732,8140,3974,1605
Edison Park,9885,29,269,872,132
Norwood Park,30157,164,1696,4442,564
Jefferson Park,17475,265,2256,4927,525
Forest Glen,13815,137,1989,2126,441
North Park,8847,573,4600,3224,687
Albany Park,15054,2076,7430,25487,1495
Portage Park,34329,856,2972,24861,1106
Irving Park,22234,1736,3736,24332,1321
Dunning,29512,308,1587,9997,528
Montclare,5041,598,377,7248,162
Belmont Cragin,11959,2493,1537,62101,653
Hermosa,1913,757,294,21860,186
Avondale,11166,991,1194,25295,616
Logan Square,29175,3913,1904,37340,1263
Humboldt Park,2502,23030,222,30046,523
West Town,46390,6391,3030,23856,1765
Austin,4364,83837,573,8722,1018
West Garfield Park,133,17315,8,348,197
East Garfield Park,698,18696,83,850,240
Near West Side,23042,17303,8022,5048,1466
North Lawndale,492,32835,74,2144,367
South Lawndale,3056,10374,113,65457,288
Lower West Side,4447,1108,371,29486,357
Loop,18359,3361,4658,2010,895
Near South Side,10281,6015,3307,1202,585
Armour Square,1642,1419,9721,464,145
Douglas,1810,13247,2313,465,403
Oakland,122,5567,35,87,107
Fuller Park,47,2651,7,132,39
Grand Boulevard,391,20645,57,395,441
Kenwood,2942,12821,973,542,563
Washington Park,87,11370,12,104,144
Hyde Park,11992,7815,3185,1626,1063
Woodlawn,1707,22654,567,543,512
South Shore,640,47289,101,854,883
Chatham,112,30160,27,311,418
Avalon Park,81,9751,19,153,181
South Chicago,599,23296,67,6774,462
Burnside,19,2849,0,20,28
Calumet Heights,126,12897,26,569,194
Roseland,188,43447,27,458,499
Pullman,522,6122,5,571,105
South Deering,725,9354,18,4809,203
East Side,3969,777,53,18076,167
West Pullman,166,27593,14,1509,369
Riverdale,32,6251,2,132,65
Hegewisch,4235,364,48,4671,108
Garfield Ridge,18372,2040,346,13515,240
Archer Heights,2874,130,138,10182,69
Brighton Park,3682,542,2252,38693,199
McKinley Park,2667,234,2445,10111,155
Bridgeport,11225,672,11038,8627,415
New City,4697,13148,727,25431,374
West Elsdon,3250,255,222,14314,68
Gage Park,1892,2161,121,35589,131
Clearing,11921,282,212,10484,240
West Lawn,4924,1390,210,26669,162
Chicago Lawn,2419,27403,190,25141,475
West Englewood,130,34178,19,774,404
Englewood,105,29847,34,325,343
Greater Grand Crossing,180,31590,21,388,423
Ashburn,6251,18976,276,15132,446
Auburn Gresham,134,47661,33,459,456
Beverly,11785,6838,112,915,384
Washington Heights,121,25793,12,258,309
Mount Greenwood,16413,987,126,1382,185
Morgan Park,6473,15039,92,619,321
O'Hare,9845,403,1058,1212,238
Edgewater,30889,8104,6582,9318,1628
Chicago,854717,872286,144903,778862,4784
