district,group,0-12,13-24,25-39,40-54,55-66,70+,,Selection,selection,open,total
Chicago,White,163569,183533,376209,231700,162102,95722,,selected,open,250,500
Chicago,Black,159779,168953,169889,182524,131276,75187,,chicago,total,500,1000
Chicago,Asian,17160,24042,50181,26009,19599,10173,,,,,
Chicago,Other,85794,77927,97251,62706,27973,8842,,,,,
Chicago,Latino,187936,159191,204363,135407,66656,25309,,,,,
Central,White,4245,12973,35568,15873,15354,7314,,,,,
Central,Asian,1023,2156,9380,1768,1222,649,,,,,
Central,Black,2274,3054,4127,3918,3153,1863,,,,,
Central,Latino,690,1181,3240,1267,579,229,,,,,
Central,Other,178,375,894,311,113,34,,,,,
Far North Side,White,36029,37617,80060,61290,43063,29777,,,,,
Far North Side,Asian,8038,8587,14930,11358,9127,4949,,,,,
Far North Side,Black,8077,7837,12052,12367,6568,1787,,,,,
Far North Side,Latino,21680,18767,26930,16897,7984,3055,,,,,
Far North Side,Other,9108,8703,12200,7361,2965,789,,,,,
Far Southeast Side,White,3659,3278,3900,4153,3415,2653,,,,,
Far Southeast Side,Asian,33,33,67,68,61,37,,,,,
Far Southeast Side,Black,30314,31699,29236,34968,28695,18887,,,,,
Far Southeast Side,Latino,8042,6745,7328,5941,3533,1793,,,,,
Far Southeast Side,Other,3771,3361,3727,2748,1476,676,,,,,
Far Southwest Side,White,8726,7777,9224,11246,8239,5118,,,,,
Far Southwest Side,Asian,97,97,122,160,146,55,,,,,
Far Southwest Side,Black,19125,21175,19085,25459,18918,12340,,,,,
Far Southwest Side,Latino,5501,3745,4784,3016,1289,430,,,,,
Far Southwest Side,Other,2180,1648,2065,1275,471,120,,,,,
North Side,White,25184,36347,99663,37631,22399,11302,,,,,
North Side,Asian,1179,1749,6963,1876,1265,759,,,,,
North Side,Black,2031,2604,3648,2797,1774,747,,,,,
North Side,Latino,15946,15284,21511,13798,7680,3515,,,,,
North Side,Other,6634,6906,9168,5942,3002,1018,,,,,
North West Side,White,27199,25058,39680,37827,27567,15419,,,,,
North West Side,Asian,1424,1404,2873,2157,2212,850,,,,,
North West Side,Black,1768,1772,2289,1876,917,353,,,,,
North West Side,Latino,36018,31142,38029,27696,13190,4324,,,,,
North West Side,Other,16472,15394,18801,13039,5681,1562,,,,,
South Side,White,3850,8851,10412,6475,5592,3446,,,,,
South Side,Asian,3265,6261,6951,5714,3750,2205,,,,,
South Side,Black,31293,30563,35691,36686,28094,16834,,,,,
South Side,Latino,3223,3221,3861,2307,1082,533,,,,,
South Side,Other,1222,1271,1741,982,422,159,,,,,
Southwest Side,White,32627,26985,35523,30994,21432,13805,,,,,
Southwest Side,Asian,1144,1158,1708,1707,1180,377,,,,,
Southwest Side,Black,23589,24938,20979,22058,14446,8115,,,,,
Southwest Side,Latino,58074,45215,55582,35987,15877,5164,,,,,
Southwest Side,Other,27443,22812,27244,17140,7015,1994,,,,,
West Side,White,22050,24647,62179,26211,15041,6888,,,,,
West Side,Asian,957,2597,7187,1201,636,292,,,,,
West Side,Black,41308,45311,42782,42395,28711,14261,,,,,
West Side,Latino,38762,33891,43098,28498,15442,6266,,,,,
West Side,Other,18786,17457,21411,13908,6828,2490,,,,,
