community,group,0-12,13-24,25-39,40-54,55-66,70+
Chicago,White,163569,183533,376209,231700,162102,95722
Chicago,Black,159779,168953,169889,182524,131276,75187
Chicago,Asian,17160,24042,50181,26009,19599,10173
Chicago,Other,85794,77927,97251,62706,27973,8842
Chicago,Latino,187936,159191,204363,135407,66656,25309
Rogers Park,White,2863,5195,8837,5532,3534,1760
Rogers Park,Black,2499,2479,3754,3725,1864,532
Rogers Park,Asian,414,755,1097,589,460,264
Rogers Park,Other,1493,1297,1816,988,353,96
Rogers Park,Latino,3386,2762,4014,2181,812,278
West Ridge,White,6149,4739,7859,7525,6287,4412
West Ridge,Black,1845,1520,1911,1888,906,222
West Ridge,Asian,2977,2556,3795,3504,2447,1001
West Ridge,Other,1760,1547,2062,1205,469,109
West Ridge,Latino,3694,2992,3968,2438,1191,418
Uptown,White,2156,3419,13912,6754,3877,2556
Uptown,Black,1798,1635,2567,3185,1803,512
Uptown,Asian,706,750,1933,1166,976,936
Uptown,Other,634,773,1177,668,314,81
Uptown,Latino,1290,1447,2639,1566,735,332
Lincoln Square,White,3358,2641,11687,5672,3371,1835
Lincoln Square,Black,200,266,455,400,228,65
Lincoln Square,Asian,557,600,1350,894,758,299
Lincoln Square,Other,613,658,924,675,304,75
Lincoln Square,Latino,1490,1378,2090,1497,822,285
North Center,White,4403,2178,11632,5210,2450,1265
North Center,Black,113,118,234,189,112,45
North Center,Asian,159,120,592,258,224,124
North Center,Other,239,210,460,264,174,59
North Center,Latino,793,681,1217,787,554,298
Lake View,White,5823,12649,39293,11740,6898,3930
Lake View,Black,387,571,1108,876,614,245
Lake View,Asian,414,678,3159,674,457,338
Lake View,Other,254,380,848,360,187,78
Lake View,Latino,832,1192,2919,1175,661,419
Lincoln Park,White,5137,11443,21619,8608,5972,2639
Lincoln Park,Black,271,695,526,536,498,317
Lincoln Park,Asian,305,602,1566,473,255,123
Lincoln Park,Other,106,334,270,129,94,52
Lincoln Park,Latino,435,937,1116,479,352,252
Near North Side,White,2529,6901,23211,10678,11243,6159
Near North Side,Black,1418,1458,1842,1842,1496,808
Near North Side,Asian,435,1010,5093,900,526,227
Near North Side,Other,86,149,476,169,73,24
Near North Side,Latino,361,513,1798,743,386,173
Edison Park,White,1602,1223,2015,2549,1752,1365
Edison Park,Black,6,7,10,6,5,0
Edison Park,Asian,43,31,74,57,49,23
Edison Park,Other,37,33,44,44,19,6
Edison Park,Latino,202,176,172,202,90,30
Norwood Park,White,4590,3763,5666,7603,5971,5407
Norwood Park,Black,43,26,51,55,9,8
Norwood Park,Asian,279,207,373,404,313,152
Norwood Park,Other,263,211,332,252,112,40
Norwood Park,Latino,1102,798,1024,835,473,210
Jefferson Park,White,2602,2393,4253,4818,3559,2463
Jefferson Park,Black,56,47,95,81,28,3
Jefferson Park,Asian,374,343,610,421,389,141
Jefferson Park,Other,393,391,477,384,153,44
Jefferson Park,Latino,1145,935,1188,1013,481,165
Forest Glen,White,2667,1728,2053,3818,2951,1974
Forest Glen,Black,42,19,41,37,12,3
Forest Glen,Asian,319,265,409,435,417,174
Forest Glen,Other,106,108,130,133,50,21
