DistrictName,community,district_value,community_value
Far North Side,Rogers Park,2,1.1791
Far North Side,West Ridge,2,1.3705
Far North Side,Uptown,2,1.3847
Far North Side,Lincoln Square,2,1.7979
North Side,North Center,5,1.0325
North Side,Lake View,5,1.3209
North Side,Lincoln Park,5,1.4345
Central,Near North Side,1,1.6304
Far North Side,Edison Park,2,1.3891
Far North Side,Norwood Park,2,1.5297
Far North Side,Jefferson Park,2,1.4285
Far North Side,Forest Glen,2,1.5297
Far North Side,North Park,2,1.422
Far North Side,Albany Park,2,1.0124
North West Side,Portage Park,6,0.9403
North West Side,Irving Park,6,0.9904
North West Side,Dunning,6,1.3877
North West Side,Montclare,6,1.2457
North West Side,Belmont Cragin,6,1.1458
North West Side,Hermosa,6,1.1058
North Side,Avondale,5,1.2359
North Side,Logan Square,5,1.0212
West Side,Humboldt Park,9,1.1306
West Side,West Town,9,0.8145
West Side,Austin,9,1.3554
West Side,West Garfield Park,9,1.0278
West Side,East Garfield Park,9,1.1619
West Side,Near West Side,9,1.0204
West Side,North Lawndale,9,1.2831
West Side,South Lawndale,9,0.8925
West Side,Lower West Side,9,0.964
Central,Loop,1,1.1327
Central,Near South Side,1,1.2075
South Side,Armour Square,7,0.7693
South Side,Douglas,7,1.3154
South Side,Oakland,7,1.0601
South Side,Fuller Park,7,1.4192
South Side,Grand Boulevard,7,1.1247
South Side,Kenwood,7,1.076
South Side,Washington Park,7,0.7648
South Side,Hyde Park,7,0.8873
South Side,Woodlawn,7,0.7693
South Side,South Shore,7,1.3154
Far Southeast Side,Chatham,3,1.0601
Far Southeast Side,Avalon Park,3,1.4192
Far Southeast Side,South Chicago,3,1.1247
Far Southeast Side,Burnside,3,1.076
Far Southeast Side,Calumet Heights,3,0.7648
Far Southeast Side,Roseland,3,0.8873
Far Southeast Side,Pullman,3,0.7693
Far Southeast Side,South Deering,3,1.3154
Far Southeast Side,East Side,3,1.0601
Far Southeast Side,West Pullman,3,1.4192
Far Southeast Side,Riverdale,3,1.1247
Far Southeast Side,Hegewisch,3,1.076
Southwest Side,Garfield Ridge,8,0.7648
Southwest Side,Archer Heights,8,0.8873
Southwest Side,Brighton Park,8,0.7693
Southwest Side,McKinley Park,8,1.3154
South Side,Bridgeport,7,1.0601
Southwest Side,New City,8,1.4192
Southwest Side,West Elsdon,8,1.1247
Southwest Side,Gage Park,8,1.076
Southwest Side,Clearing,8,0.7648
Southwest Side,West Lawn,8,0.8873
Southwest Side,Chicago Lawn,8,0.7693
Southwest Side,West Englewood,8,1.3154
Southwest Side,Englewood,8,1.0601
South Side,Greater Grand Crossing,7,1.4192
Far Southwest Side,Ashburn,4,1.1247
Far Southwest Side,Auburn Gresham,4,1.076
Far Southwest Side,Beverly,4,0.7648
Far Southwest Side,Washington Heights,4,0.8873
Far Southwest Side,Mount Greenwood,4,0.7693
Far Southwest Side,Morgan Park,4,1.3154
Far North Side,O'hare,2,1.0601
Far North Side,Edgewater,2,1.4192
